2023-02-21 16:53:04,096 INFO [darlingfullscore]                 Book.java:485  | 4 sheets in /Users/kahhian/Downloads/darlingfullscore.pdf
2023-02-21 16:53:27,978 INFO [darlingfullscore#1]                 Book.java:1767 | End of Stub#1 memory: 33,190,840
2023-02-21 16:53:27,978 INFO [darlingfullscore#2]       StepMonitoring.java:96   | LOAD
2023-02-21 16:53:28,021 INFO [darlingfullscore#2]                 Book.java:1558 | Loaded image 2 2549x3299 from /Users/kahhian/Downloads/darlingfullscore.pdf
2023-02-21 16:53:28,022 INFO [darlingfullscore#2]       StepMonitoring.java:96   | BINARY
2023-02-21 16:53:28,559 INFO [darlingfullscore#2]       StepMonitoring.java:96   | SCALE
2023-02-21 16:53:28,568 INFO [darlingfullscore#2]         ScaleBuilder.java:662  | Other combo peak too different (186,186,187), discarded
2023-02-21 16:53:28,569 INFO [darlingfullscore#2]         ScaleBuilder.java:234  | Beam  guessed height: 14 -- 0.50 of [6..21] range
2023-02-21 16:53:28,570 INFO [darlingfullscore#2]         ScaleBuilder.java:253  | Beam measured height: 20 -- 0.93 of [6..21] range at 60% of needed quorum
2023-02-21 16:53:28,573 WARN [darlingfullscore#2]         ScaleBuilder.java:276  | No reliable beam height found, guessed value: 14
2023-02-21 16:53:28,575 INFO [darlingfullscore#2]            ScaleStep.java:63   | Scale{line(2,3,3) interline(20,21,21) beam(14 extra)}
2023-02-21 16:53:28,576 INFO [darlingfullscore#2]       StepMonitoring.java:96   | GRID
2023-02-21 16:53:28,819 INFO [darlingfullscore#2]       LinesRetriever.java:439  | Global slope: -0.00024
2023-02-21 16:53:28,835 INFO [darlingfullscore#2]    ClustersRetriever.java:266  | Retrieved line clusters: 10 of sizes [5] with interline(20,21,21)
2023-02-21 16:53:28,960 INFO [darlingfullscore#2]            PeakGraph.java:181  | Systems: #1[1, 2] #2[3, 4] #3[5, 6] #4[7, 8] #5[9, 10]
2023-02-21 16:53:29,334 INFO [darlingfullscore#2]        SystemManager.java:840  | 1 part along 5 systems
2023-02-21 16:53:29,334 INFO [darlingfullscore#2]       StepMonitoring.java:96   | HEADERS
2023-02-21 16:53:29,715 INFO [darlingfullscore#2]       StepMonitoring.java:96   | STEM_SEEDS
2023-02-21 16:53:29,820 INFO [darlingfullscore#2]            ImageUtil.java:202  | Discarding alpha band ...
2023-02-21 16:53:30,255 INFO [darlingfullscore#2]            ImageUtil.java:88   | Converting max RGB to gray
2023-02-21 16:53:30,427 INFO [darlingfullscore#2]        StemSeedsStep.java:95   | stem(3 max:3)
2023-02-21 16:53:30,453 INFO [darlingfullscore#2]       StepMonitoring.java:96   | BEAMS
2023-02-21 16:53:35,571 INFO [darlingfullscore#2]       BlackHeadSizer.java:99   | Spots black-head retrieval diameter: 18.9
2023-02-21 16:53:35,862 INFO [darlingfullscore#2]       BlackHeadSizer.java:247  | Core black head count: 66 blackHead(width:25.0~0.0 height:21.8~1.1)
2023-02-21 16:53:35,865 INFO [darlingfullscore#2]       BlackHeadSizer.java:252  | MusicFont{name:MusicalSymbols pointSize:84}
2023-02-21 16:53:35,922 INFO [darlingfullscore#2]       StepMonitoring.java:96   | LEDGERS
2023-02-21 16:53:36,221 INFO [darlingfullscore#2]       StepMonitoring.java:96   | HEADS
2023-02-21 16:53:46,215 INFO [darlingfullscore#2]        HeadSeedTally.java:208  | Scale information: HeadSeeds{NOTEHEAD_BLACK[L:1.6,R:1.5] NOTEHEAD_VOID[L:1.5,R:1.5]}
2023-02-21 16:53:46,216 INFO [darlingfullscore#2]       StepMonitoring.java:96   | STEMS
2023-02-21 16:53:46,489 INFO [darlingfullscore#2]       StepMonitoring.java:96   | REDUCTION
2023-02-21 16:53:46,595 INFO [darlingfullscore#2]        ReductionStep.java:118  | Stems free length median value: 71 pixels, 3.4 interlines
2023-02-21 16:53:46,595 INFO [darlingfullscore#2]       StepMonitoring.java:96   | CUE_BEAMS
2023-02-21 16:53:46,596 INFO [darlingfullscore#2]       StepMonitoring.java:96   | TEXTS
2023-02-21 16:53:47,773 INFO [darlingfullscore#2]         TesseractOCR.java:208  | OCR. too low confident TextWord{ "i" bounds[1394,2701,1,3] conf:0.04 base[1394,2704]-[1395,2704] FontInfo{Times_New_Roman S-51}}
2023-02-21 16:53:47,810 INFO [darlingfullscore#2]       StepMonitoring.java:96   | MEASURES
2023-02-21 16:53:47,812 INFO [darlingfullscore#2]                 Page.java:279  | 40 raw measures: [8 in system#1, 8 in system#2, 8 in system#3, 8 in system#4, 8 in system#5]
2023-02-21 16:53:47,813 INFO [darlingfullscore#2]       StepMonitoring.java:96   | CHORDS
2023-02-21 16:53:47,822 INFO [darlingfullscore#2]       StepMonitoring.java:96   | CURVES
2023-02-21 16:53:48,487 INFO [darlingfullscore#2]         SlursBuilder.java:160  | Slurs: 5
2023-02-21 16:53:48,504 INFO [darlingfullscore#2]      SegmentsBuilder.java:114  | Segments: 47
2023-02-21 16:53:48,513 INFO [darlingfullscore#2]       StepMonitoring.java:96   | SYMBOLS
2023-02-21 16:53:48,879 INFO [darlingfullscore#2]       StepMonitoring.java:96   | LINKS
2023-02-21 16:53:48,880 INFO [darlingfullscore#2]        SymbolsLinker.java:161  | No chord near direction SentenceInter{#3965(0.900) stf:1 S-21 Direction} _____________________________________________________________________________________________________________________
2023-02-21 16:53:48,905 INFO [darlingfullscore#2]       StepMonitoring.java:96   | RHYTHMS
2023-02-21 16:53:48,906 INFO [darlingfullscore#2]           PageRhythm.java:250  | {Page#2.1} Using last timeRational of previous page: 3/4
2023-02-21 16:53:48,926 INFO [darlingfullscore#2]       StepMonitoring.java:96   | PAGE
2023-02-21 16:53:48,928 INFO [darlingfullscore#2]                 Book.java:2076 | Book{darlingfullscore} storing
2023-02-21 16:53:48,995 INFO [darlingfullscore#2]                 Book.java:2056 | Stored /book.xml
2023-02-21 16:53:49,112 INFO [darlingfullscore#2]           DataHolder.java:297  | Stored /sheet#2/BINARY.png
2023-02-21 16:53:49,946 INFO [darlingfullscore#2]                Sheet.java:1225 | Stored /sheet#2/sheet#2.xml
2023-02-21 16:53:49,946 INFO [darlingfullscore#2]                 Book.java:2002 | Book stored as lessons/darlingfullscore/darlingfullscore.omr
2023-02-21 16:53:49,951 INFO [darlingfullscore#2]            SheetStub.java:1197 | Disposed sheet#2
2023-02-21 16:53:50,084 INFO [darlingfullscore#2]                 Book.java:1767 | End of Stub#2 memory: 33,263,544
2023-02-21 16:53:50,085 INFO [darlingfullscore#3]       StepMonitoring.java:96   | LOAD
2023-02-21 16:53:50,121 INFO [darlingfullscore#3]                 Book.java:1558 | Loaded image 3 2549x3299 from /Users/kahhian/Downloads/darlingfullscore.pdf
2023-02-21 16:53:50,122 INFO [darlingfullscore#3]       StepMonitoring.java:96   | BINARY
2023-02-21 16:53:50,643 INFO [darlingfullscore#3]       StepMonitoring.java:96   | SCALE
2023-02-21 16:53:50,645 INFO [darlingfullscore#3]         ScaleBuilder.java:662  | Other combo peak too different (432,433,433), discarded
2023-02-21 16:53:50,645 INFO [darlingfullscore#3]         ScaleBuilder.java:662  | Other combo peak too different (186,186,187), discarded
2023-02-21 16:53:50,645 INFO [darlingfullscore#3]         ScaleBuilder.java:234  | Beam  guessed height: 14 -- 0.50 of [6..21] range
2023-02-21 16:53:50,645 INFO [darlingfullscore#3]         ScaleBuilder.java:253  | Beam measured height:  7 -- 0.07 of [6..21] range at 92% of needed quorum
2023-02-21 16:53:50,645 WARN [darlingfullscore#3]         ScaleBuilder.java:276  | No reliable beam height found, guessed value: 14
2023-02-21 16:53:50,645 INFO [darlingfullscore#3]            ScaleStep.java:63   | Scale{line(2,3,3) interline(20,21,21) beam(14 extra)}
2023-02-21 16:53:50,646 INFO [darlingfullscore#3]       StepMonitoring.java:96   | GRID
2023-02-21 16:53:50,746 INFO [darlingfullscore#3]       LinesRetriever.java:439  | Global slope: 0.00000
2023-02-21 16:53:50,760 INFO [darlingfullscore#3]    ClustersRetriever.java:266  | Retrieved line clusters: 8 of sizes [5] with interline(20,21,21)
2023-02-21 16:53:50,851 INFO [darlingfullscore#3]            PeakGraph.java:181  | Systems: #1[1, 2] #2[3, 4] #3[5, 6] #4[7, 8]
2023-02-21 16:53:51,080 INFO [darlingfullscore#3]        SystemManager.java:840  | 1 part along 4 systems
2023-02-21 16:53:51,080 INFO [darlingfullscore#3]       StepMonitoring.java:96   | HEADERS
2023-02-21 16:53:51,364 INFO [darlingfullscore#3]       StepMonitoring.java:96   | STEM_SEEDS
2023-02-21 16:53:51,454 INFO [darlingfullscore#3]            ImageUtil.java:202  | Discarding alpha band ...
2023-02-21 16:53:51,906 INFO [darlingfullscore#3]            ImageUtil.java:88   | Converting max RGB to gray
2023-02-21 16:53:52,139 INFO [darlingfullscore#3]        StemSeedsStep.java:95   | stem(3 max:3)
2023-02-21 16:53:52,147 INFO [darlingfullscore#3]       StepMonitoring.java:96   | BEAMS
2023-02-21 16:53:57,035 INFO [darlingfullscore#3]       BlackHeadSizer.java:99   | Spots black-head retrieval diameter: 18.9
2023-02-21 16:53:57,206 INFO [darlingfullscore#3]       BlackHeadSizer.java:247  | Core black head count: 48 blackHead(width:25.0~0.0 height:22.2~1.0)
2023-02-21 16:53:57,207 INFO [darlingfullscore#3]       BlackHeadSizer.java:252  | MusicFont{name:MusicalSymbols pointSize:84}
2023-02-21 16:53:57,241 INFO [darlingfullscore#3]       StepMonitoring.java:96   | LEDGERS
2023-02-21 16:53:57,498 INFO [darlingfullscore#3]       StepMonitoring.java:96   | HEADS
2023-02-21 16:54:06,100 INFO [darlingfullscore#3]        HeadSeedTally.java:208  | Scale information: HeadSeeds{NOTEHEAD_BLACK[L:1.6,R:1.5] NOTEHEAD_VOID[L:1.5]}
2023-02-21 16:54:06,101 INFO [darlingfullscore#3]       StepMonitoring.java:96   | STEMS
2023-02-21 16:54:06,370 INFO [darlingfullscore#3]       StepMonitoring.java:96   | REDUCTION
2023-02-21 16:54:06,416 INFO [darlingfullscore#3]        ReductionStep.java:118  | Stems free length median value: 71 pixels, 3.4 interlines
2023-02-21 16:54:06,417 INFO [darlingfullscore#3]       StepMonitoring.java:96   | CUE_BEAMS
2023-02-21 16:54:06,419 INFO [darlingfullscore#3]       StepMonitoring.java:96   | TEXTS
2023-02-21 16:54:07,777 INFO [darlingfullscore#3]       StepMonitoring.java:96   | MEASURES
